"Año","Origen","U_Destino","Cantidad"
"1958","New york U.","U. Pontificia bolivariana","1"
"1958","U. Of illinois at urbana-champaign","U. De los andes","2"
"1958","U. Of notre dame","U. De los andes","3"
"1958","Rensselaer polytechnic institute","U. Nal. De Col.","4"
"1958","Rice U.","U. Nal. De Col.","5"
"1959","Southern methodist U.","U. Pontificia bolivariana","6"
"1959","U. Of illinois at urbana-champaign","U. De los andes","7"
"1959","U. Of illinois at urbana-champaign","U. De los andes","8"
"1960","Harvard U.","U. Javeriana","9"
"1960","Central washington U.","U. Nal. De Col.","10"
"1960","U. Of tulsa","U. Industrial de std","11"
"1960","Cornell U.","U. Nal. De Col.","12"
"1960","Bowdoin college","U. Del atlantico","13"
"1961","Michigan state U.","U. De los andes","14"
"1961","Michigan state U.","U. Nal. De Col.","15"
"1961","Michigan state U.","U. De los andes","16"
"1961","Baylor U.","U. Nal. De Col.","17"
"1961","Georgetown U.","U. Javeriana","18"
"1961","Saint louis U.-main campus","U. Pedagogica nal.","19"
"1961","Otterbein U.","U. Del atlantico","20"
"1961","Pennsylvania state U.","U. Del atlantico","21"
"1961","U. Of rochester","Instituto caro y cuervo","22"
"1961","U. Of rochester","Instituto caro y cuervo","23"
"1962","Harvard U.","U. Javeriana","24"
"1962","U. Of colorado","U. Nal. De Col.","25"
"1962","Ohio state U.","U. Industrial de std","26"
"1962","Stanford U.","U. Javeriana","27"
"1962","U. Of california - los angeles","U. Pedagogica nal.","28"
"1962","U. Of california, berkeley","U. Del atlantico","29"
"1962","Michigan state U.","U. Javeriana","30"
"1963","Southern methodist U.","U. De cartagena","31"
"1963","Western michigan U.","U. Nal. De Col.","32"
"1963","Johns hopkins U.","U. Nal. De Col.","33"
"1963","U. Of illinois at urbana-champaign","U. De los andes","34"
"1963","Stanford U.","U. Del cauca","35"
"1963","Massachusetts institute of technology","U. De los andes","36"
"1963","Massachusetts institute of technology","U. Industrial de std","37"
"1963","Saint louis U.-main campus","U. Pedagogica nal.","38"
"1963","Harvard U.","Colegio mayor de nuestra señora del rosario","39"
"1963","U. Of wisconsin - madison","U. Nal. De Col.","40"
"1963","U. Of oregon","U. De los andes","41"
"1964","Iowa state U.","U. Del valle","42"
"1964","Northwestern U.","U. Javeriana","43"
"1964","U. Of california - los angeles","U. Nal. De Col.","44"
"1964","U. Of california - los angeles","U. Nal. De Col.","45"
"1964","U. Of georgia","U. De nariño","46"
"1964","U. Of rochester","U. De caldas","47"
"1964","Johns hopkins U.","U. Nal. De Col.","48"
"1964","Columbia U. In the city of new york","U. De cartagena","49"
"1964","Southern methodist U.","U. Javeriana","50"
"1964","U. Of wisconsin - madison","U. Javeriana","51"
"1964","U. Of michigan - ann arbor","U. Pedagogica nal.","52"
"1964","Cornell U.","U. Nal. De Col.","53"
"1964","Massachusetts institute of technology","U. Javeriana","54"
"1964","Indiana U. Bloomington","U. Javeriana","55"
"1964","U. Of oklahoma","U. Javeriana","56"
"1964","Georgetown U.","U. De antioquia","57"
"1965","U. Of kansas","U. De los andes","58"
"1965","Syracuse U.","U. Pedagogica nal.","59"
"1965","Princeton U.","U. Javeriana","60"
"1965","New york U.","U. Nal. De Col.","61"
